Nome,Cognome,Nazionalità,R,Squadra,Quotazioni,Anno di nascita,Mv,Fm,Partite a voto,Gf,Gs,Rigori parati,Rigori calciati,Rigori segnati,Assist,Ammonizioni,Espulsioni,Autogol
Yann,Sommer,SWITZERLAND,POR,Inter,"17,0",17/12/1988,"6,12","5,63",34,0,19,1,0,0,0,1,0,0
Wojciech,Szczesny,POLAND,POR,Juventus,"16,0",18/04/1990,"6,21","5,43",35,0,30,1,0,0,0,1,0,0
Mile,Svilar,"SERBIA,BELGIUM",POR,Roma,"16,0",27/08/1999,"6,47","5,37",15,0,19,1,0,0,0,1,0,0
Michele,Di Gregorio,ITALY,POR,Monza,"16,0",27/07/1997,"6,35","5,47",33,0,35,2,0,0,0,0,0,0
Lukasz,Skorupski,POLAND,POR,Bologna,"15,0",05/05/1991,"6,17","5,33",32,0,29,1,0,0,0,2,0,0
Pietro,Terracciano,ITALY,POR,Fiorentina,"15,0",08/03/1990,"6,27","5,26",33,0,35,1,0,0,0,3,0,0
Marco,Carnesecchi,ITALY,POR,Atalanta,"15,0",01/07/2000,"6,19","5,3",27,0,30,2,0,0,0,0,0,0
Vanja,Milinkovic-Savic V.,"SERBIA,SPAIN",POR,Torino,"14,0",20/02/1997,"6,12","5,24",36,0,31,0,0,0,0,2,0,0
Elia,Caprile,ITALY,POR,Empoli,"14,0",25/08/2001,"6,26","5,22",23,0,27,1,0,0,0,0,0,0
Alex,Meret,ITALY,POR,Napoli,"13,0",22/03/1997,"6,06","4,97",31,0,40,2,0,0,0,0,0,0
Lorenzo,Montipo',ITALY,POR,Verona,"13,0",20/02/1996,"6,31","4,99",37,0,49,0,0,0,0,0,0,0
Wladimiro,Falcone,ITALY,POR,Lecce,"12,0",12/04/1995,"6,25","4,91",38,0,54,1,0,0,0,0,0,0
Ivan,Provedel,ITALY,POR,Lazio,"12,0",17/03/1994,"6,23","5,13",30,0,33,0,0,0,0,0,0,0
Josep,Martinez Jo.,SPAIN,POR,Genoa,"12,0",27/05/1998,"6,14","4,97",36,0,43,1,0,0,0,2,1,0
Maduka,Okoye,"NIGERIA,GERMANY",POR,Udinese,"12,0",28/08/1999,"6,17","4,93",21,0,25,0,0,0,0,2,0,0
Christos,Mandas,GREECE,POR,Lazio,"11,0",17/09/2001,"6,25","5,5",8,0,6,0,0,0,0,0,0,0
,Maignan,,POR,Milan,"10,0",,"6,05","4,86",29,0,34,0,0,0,1,1,1,0
,Ravaglia F.,,POR,Bologna,"9,0",,"6,33","6,33",6,0,3,1,0,0,0,0,0,0
,Consigli,,POR,Sassuolo,"7,0",,"6,14","4,27",35,0,68,1,0,0,0,1,0,0
,Scuffet,,POR,Cagliari,"7,0",,"6,13","4,31",31,0,55,0,0,0,0,3,0,0
,Rui Patricio,,POR,Roma,"5,0",,"5,98","4,78",23,0,27,0,0,0,0,1,0,0
,Turati,,POR,Frosinone,"7,0",,"6,19","4,42",31,0,58,1,0,0,0,0,0,0
,Sportiello,,POR,Milan,"6,0",,"6,14","4,57",7,0,11,0,0,0,0,0,0,0
,Audero,,POR,Inter,"6,0",,6,"5,25",4,0,3,0,0,0,0,0,0,0
,Musso,,POR,Atalanta,"5,0",,"6,14","5,05",11,0,12,0,0,0,0,0,0,0
,Perin,,POR,Juventus,"4,0",,6,"5,67",3,0,1,0,0,0,0,0,0,0
,Cerofolini,,POR,Frosinone,"4,0",,"5,94","4,25",8,0,11,0,0,0,0,1,0,1
,Ochoa,,POR,Salernitana,"4,0",,"6,31","4,21",21,0,44,0,0,0,0,0,0,0
,Berisha,,POR,Empoli,"3,0",,"6,11","4,54",14,0,25,1,0,0,0,0,0,0
,Perilli,,POR,Verona,"3,0",,"7,5","5,5",1,0,2,0,0,0,0,0,0,0
,Di Gennaro,,POR,Inter,"3,0",,"6,5","6,5",1,0,0,0,0,0,0,0,0,0
,Pinsoglio,,POR,Juventus,"3,0",,"6,5","6,5",1,0,0,0,0,0,0,0,0,0
,Rossi F.,,POR,Atalanta,"3,0",,"6,5","6,5",1,0,0,0,0,0,0,0,0,0
,Leali,,POR,Genoa,"2,0",,"6,5","5,25",2,0,2,0,0,0,0,1,0,0
,Gollini,,POR,Napoli,"2,0",,6,"4,86",7,0,8,0,0,0,0,0,0,0
,Aresti,,POR,Cagliari,"2,0",,6,5,1,0,1,0,0,0,0,0,0,0
,Fiorillo,,POR,Salernitana,"2,0",,6,"3,88",4,0,8,0,0,0,0,1,0,0
,Cragno,,POR,Sassuolo,"2,0",,6,"3,67",3,0,7,0,0,0,0,0,0,0
,Silvestri,,POR,Udinese,"2,0",,"5,82","4,18",17,0,28,0,0,0,0,0,0,0
,Sorrentino A.,,POR,Monza,"2,0",,6,"3,71",7,0,16,0,0,0,0,0,0,0
,Radunovic,,POR,Cagliari,"1,0",,"5,71",4,7,0,12,0,0,0,0,0,0,0
,Mirante,,POR,Milan,"1,0",,"6,25","4,75",2,0,3,0,0,0,0,0,0,0
,Sepe,,POR,Lazio,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Lamanna,,POR,Monza,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Sommariva,,POR,Genoa,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Pegolo,,POR,Sassuolo,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Padelli,,POR,Udinese,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Perisan,,POR,Empoli,"1,0",,5,3,1,0,2,0,0,0,0,0,0,0
,Costil,,POR,Salernitana,"1,0",,"6,19","3,96",13,0,29,0,0,0,0,0,0,0
,Frattali,,POR,Frosinone,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Contini,,POR,Napoli,"1,0",,6,6,1,0,0,0,0,0,0,0,0,0
,Brancolini,,POR,Lecce,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Bleve,,POR,Lecce,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Berardi A.,,POR,Verona,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Gemello,,POR,Torino,"1,0",,5,"2,5",2,0,5,0,0,0,0,0,0,0
,Boer,,POR,Roma,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Adamonis,,POR,Lazio,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Piana,,POR,Udinese,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Bagnolini,,POR,Bologna,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Luis Maximiano,,POR,Lazio,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
